bullhorn_monitor	fk_bullhorn_monitor_environment_id
candidate_fraud_assessment	fk_candidate_fraud_assessment_environment_id
candidate_job_match	fk_candidate_job_match_environment_id
candidate_profile_embedding	fk_candidate_profile_embedding_environment_id
candidate_vetting_log	fk_candidate_vetting_log_environment_id
job_embedding	fk_job_embedding_environment_id
job_vetting_requirements	fk_job_vetting_requirements_environment_id
parsed_email	fk_parsed_email_environment_id
recruiter_notification_ledger	fk_recruiter_notification_ledger_environment_id
